,start,end,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
0,1360587600000,1360587827000,0.0001,0.0001,12689.66528941651,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1640.749007936508,0.0001,78.08181187550488,0.0001,0.0001,806.7668544690603,0.0001,0.0001,0.0001,0.0001,0.0001,15.95744680851064,0.0001,89.89310009718173,0.0001,30120.22569444444,0.0001,0.0001,0.0001,5882.8125,0.0001,2369.7916666666665,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4082.945686424719,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,1360587827000,1360588054000,0.0001,0.0001,1968.4724372555409,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,218.75,0.0001,9598.10957180869,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7477.849804085117,0.0001,0.0001,69.57236842105263,0.0001,0.0001,4928.385416666667,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7125.0,0.0001,0.0001,0.0001,4937.153962582444,0.0001,0.0001
2,1360588054000,1360588281000,0.0001,0.0001,3646.2053571428573,0.0001,0.0001,0.0001,0.0001,16.72535211267606,0.0001,0.0001,0.0001,1315.6250000000002,0.0001,54.375584214641776,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,28.947325822325823,0.0001,0.0001,0.0001,970.9149453941118,0.0001,3663.417658730159,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,22054.501488095237,0.0001,4797.63059318555,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10891.483516483517,0.0001,66.82180851063829
3,1360588281000,1360588508000,0.0001,0.0001,119.21744036105737,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1682.1199633699632,0.0001,25.50056990881459,0.0001,0.0001,0.0001,0.0001,969.0824468085107,0.0001,0.0001,0.0001,0.0001,0.0001,48.87820512820513,0.0001,52.951388888888886,48.87820512820513,59.5703125,0.0001,2767.984661983997,0.0001,2890.1209677419356,0.0001,953.125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1403.741728893747,0.0001,48.87820512820513,0.0001,52.951388888888886,0.0001,0.0001,1296.1357064711965,0.0001,0.0001
4,1360588508000,1360588735000,0.0001,0.0001,3926.682692307692,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1315.254407051282,0.0001,78.20322941877686,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,54.46428571428571,59.5703125,1906.25,0.0001,3500.0,0.0001,0.0001,0.0001,987.9111842105264,8372.710622710623,52.951388888888886,3140.625,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,69328.90625,0.0001,53.32167832167832,0.0001,0.0001,10871.53820163331,0.0001,0.0001,0.0001,563.6221173051053,0.0001,0.0001
5,1360588735000,1360588962000,56.06617647058823,0.0001,0.0001,11294.375,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,218.75,0.0001,73.4064013893221,0.0001,0.0001,0.0001,0.0001,42.685849008120044,0.0001,50.16447368421053,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7745.535714285715,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,51.52027027027027,0.0001,0.0001,51.52027027027027,51.52027027027027,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,58.49314109742441
6,1360588962000,1360589189000,0.0001,0.0001,2282.165374373433,56.48035709488502,0.0001,54.46428571428571,0.0001,56.06617647058823,0.0001,1906.25,0.0001,1330.1775451559936,0.0001,67.10526315789474,0.0001,0.0001,54.46428571428571,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,11.432926829268293,0.0001,0.0001,17135.023210409796,0.0001,5525.841346153846,0.0001,3154.0023561507937,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4452.265094593476,0.0001,0.0001,2954.6905441362987,0.0001,0.0001,0.0001,4646.005036630037,0.0001,0.0001
7,1360589189000,1360589416000,0.0001,0.0001,2237.7485795454545,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1035.435267857143,52.951388888888886,95.6052676733013,0.0001,0.0001,1906.25,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,504.59558823529414,0.0001,0.0001,0.0001,0.0001,2144.8785258405433,68.84765625,3689.191729323308,0.0001,5659.102182539683,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,52.951388888888886,0.0001,3820.8733275236364,0.0001,0.0001,197895.83333333334,0.0001,0.0001,0.0001,34015.30334245859,0.0001,79.7872340425532
8,1360589416000,1360589643000,0.0001,0.0001,2074.1368006993007,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,218.75,0.0001,79.53789893617021,0.0001,0.0001,0.0001,0.0001,39.8936170212766,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5385.602678571428,51929.166666666664,6024.305555555555,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7125.0,29819.87847222222,0.0001,0.0001,11536.246441511388,0.0001,0.0001
9,1360589643000,1360589870000,0.0001,0.0001,4253.90625,5099.97888442244,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,951.6252790178571,0.0001,67.10526315789474,0.0001,0.0001,0.0001,0.0001,14.109848484848484,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,27.21774193548387,0.0001,0.0001,0.0001,69.57236842105263,0.0001,287.5,4328.65964330808,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4038.7633308531745,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10204.16750672043,0.0001,0.0001
