,start,end,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
0,1359982800000,1359983027000,0.0001,0.0001,0.0001,0.0001,17.410714285714285,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,41.35338345864661,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,8470.712560386475,0.0001,1742.1875,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1638.3574695121952,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6103.89250901752,0.0001,0.0001
1,1359983027000,1359983254000,0.0001,0.0001,6007.8125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,18.42948717948718,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1819.82421875,0.0001,4895.915304681195,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,102.27272727272727,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,594.3509615384614,0.0001,0.0001
2,1359983254000,1359983481000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,16.187050359712227,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,8392.079399393395,0.0001,5140.610119047619,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.585106382978722,0.0001,2742.994503199007,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3646.2053571428573,0.0001,0.0001
3,1359983481000,1359983708000,0.0001,0.0001,7125.0,65.32579787234043,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,89.09026739744228,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,15.95744680851064,0.0001,0.0001,0.0001,0.0001,0.0001,4591.517857142857,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4039.573561966344,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,88.14658197641774,0.0001,0.0001
4,1359983708000,1359983935000,0.0001,0.0001,7125.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3010.6026785714284,0.0001,656.25,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.2685475444096,11.421783625730994,0.0001,0.0001,0.0001,0.0001,0.0001,187.49999999999997,0.0001,0.0001
5,1359983935000,1359984162000,0.0001,0.0001,61891.3986499799,101.72872340425532,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,934.6324053955761,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1556.25,0.0001,4315.9572557471265,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2107.797687536203,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6,1359984162000,1359984389000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,78.125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7125.0,62490.57404891304,4549.714781746032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,130.3161266924565,0.0001,1224.3981979919477,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
7,1359984389000,1359984616000,0.0001,0.0001,7125.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1893.3423913043478,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,16.07142857142857,0.0001,0.0001,0.0001,0.0001,0.0001,3599.6014030612246,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6047.398325358851,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
8,1359984616000,1359984843000,0.0001,0.0001,4226.5625,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,913.2275132275132,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2423.908624620061,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,110.52489177489176,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
9,1359984843000,1359985070000,0.0001,0.0001,3562.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1122.3338293650793,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,70.3125,150.89285714285714,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2946.459441489362,0.0001,2568.7274415517886,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7643.48733836207,0.0001,1632.044443822374,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
